uuid,dates,poke_id,haiku,sprites
13_2024-01-13,2024-01-13,28,"A nidoran-f sits
In the grassland.
The horns are small.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/29.gif
14_2024-01-14,2024-01-14,102,"A Pokemon's life,

Is as a whole.

An EXEGGCUTE.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/103.gif
15_2024-01-15,2024-01-15,78,"Slowpoke,
Dip its tail
In the river.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/79.gif
16_2024-01-16,2024-01-16,85,"The seel's horn is hard,

It is used to bash through

The thick icebergs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/86.gif
17_2024-01-17,2024-01-17,117,"A water queen, so grand and so grand
Is the goldeen, which is a Pokemon
It can be found,",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/118.gif
18_2024-01-18,2024-01-18,93,"A gengar, a cave,

A night of a full moon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/94.gif
19_2024-01-19,2024-01-19,39,"A wigglytuff,

Is a Pokemon.

Is in the grassland.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/40.gif
20_2024-01-20,2024-01-20,92,"At the far end of the cave,
A haunter, I believe.
I do not know why.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/93.gif
21_2024-01-21,2024-01-21,52,"A Persian cat
Is a very proud
And lovely pet.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/53.gif
22_2024-01-22,2024-01-22,20,"A busy spearow,
In a small clearing,
Fights a battle strong.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/21.gif
23_2024-01-23,2024-01-23,43,"In the grassland's shade,
A Pokemon named Gloom,
Flies by with ease.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/44.gif
24_2024-01-24,2024-01-24,1,"The ivysaur's bulb grows,
And it sinks to the ground.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/2.gif
25_2024-01-25,2024-01-25,70,"With its long, waving vine,
The victim-stealing Victreebel
Is the most adorable Pokémon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/71.gif
26_2024-01-26,2024-01-26,101,"The Pokemon exeggcute
Is often mistaken for
An egg.
It is a small, round
 Pokemon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/102.gif
27_2024-01-27,2024-01-27,95,"Drowzee drowzee
Gently sleeping, gently breathing
I'm glad to be back.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/96.gif
28_2024-01-28,2024-01-28,110,"The rhyhorn is a tough Pokemon
Who's bones are hard as nails—
With the strength to knock a sem",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/111.gif
29_2024-01-29,2024-01-29,30,"The nidoqueen

Scales of defense

Is the Pokemon of the grass.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/31.gif
30_2024-01-30,2024-01-30,47,"A sly and sneaky Pokémon,

VernoAT lives in the shadows of tall trees.

It's",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/48.gif
31_2024-01-31,2024-01-31,140,"Kabutops swims,
In the deep, deep sea,
Catching prey
With its scythe-like",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/141.gif
32_2024-02-01,2024-02-01,23,"The arbok's belly is said to be a
ferocious beast,

Fist of fury.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/24.gif
33_2024-02-02,2024-02-02,24,"pikachu,
  a Pokemon that can't be tamed,
  lives in a forest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/25.gif
34_2024-02-03,2024-02-03,114,"Kangaskhan,
A small,
Three-year-old
Pokemon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/115.gif
35_2024-02-04,2024-02-04,131,"Ditto

A ditto, in the city
A ditto, in its den",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/132.gif
36_2024-02-05,2024-02-05,16,"geotto, fierce and alert
Protecting their territory
From any intruders",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/17.gif
37_2024-02-06,2024-02-06,105,"A Pokemon's name
Is ""hitmonlee""
A Pokemon that is
From urban areas.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/106.gif
38_2024-02-07,2024-02-07,116,"Seadra, a Pokemon
Swimming backwards
With its pectoral fins and tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/117.gif
39_2024-02-08,2024-02-08,95,"Drowzee drowzee
Gently sleeping, gently breathing
I'm glad to be back.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/96.gif
40_2024-02-09,2024-02-09,110,"The rhyhorn is a tough Pokemon
Who's bones are hard as nails—
With the strength to knock a sem",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/111.gif
41_2024-02-10,2024-02-10,65,"Machop,
The muscle child.

 Machop,
Hurl the mountains.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/66.gif
42_2024-02-11,2024-02-11,12,"It ate a lot of leaves,

The weedle.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/13.gif
43_2024-02-12,2024-02-12,41,"A Golbat, with its mouth

And its feet

Will not stop

Draining energy
From its",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/42.gif
44_2024-02-13,2024-02-13,51,"A meowth, sleep,
With its eyes aglow.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/52.gif
45_2024-02-14,2024-02-14,122,"Scyther, with its wickedly sharp scythes
Scratches and tears its prey.
From a grassland",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/123.gif
46_2024-02-15,2024-02-15,83,"In the grassland,
A bird
That makes up for its
Poor flying
With its fast foot speed.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/84.gif
47_2024-02-16,2024-02-16,106,"A quick, fast Pokemon,

A lightning-fast punch,

A flash of light.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/107.gif
48_2024-02-17,2024-02-17,133,"Vaporeon lives close to the

Water, with its long

Ridged tail, a fin.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/134.gif
49_2024-02-18,2024-02-18,21,"A fearful flight,
A wingless Pokémon.

With its great strength
It has a magnificent flight.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/22.gif
50_2024-02-19,2024-02-19,65,"Machop,
The muscle child.

 Machop,
Hurl the mountains.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/66.gif
51_2024-02-20,2024-02-20,99,"In the power plant's cage,
The Pokémon Voltorb
Zapped many people.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/100.gif
52_2024-02-21,2024-02-21,34,"Clefairy, a magical Pokemon
A cute one too, a rare sight
With its admirers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/35.gif
53_2024-02-22,2024-02-22,8,"A BLASTOISE,
A shelled,
A water-jet-wielding,
BATTLE",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/9.gif
54_2024-02-23,2024-02-23,79,"A slowbro, with a shell that clings
To the slowpoke’s tail,
 feeds on its leftovers",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/80.gif
55_2024-02-24,2024-02-24,44,"vileplume
The air around
A highly toxic
And causes paralysis.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/45.gif
56_2024-02-25,2024-02-25,35,"The moment I sense you,

I run and hide,

A timid fairy.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/36.gif
57_2024-02-26,2024-02-26,115,"A fish, so small
It's a Pokemon

It's a sea horse, the small fish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/116.gif
58_2024-02-27,2024-02-27,137,"A omanyte, once more,
Is found in the sea.

But once more,
It's gone",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/138.gif
59_2024-02-28,2024-02-28,43,"In the grassland's shade,
A Pokemon named Gloom,
Flies by with ease.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/44.gif
60_2024-02-29,2024-02-29,134,"a jolteon,

a storm,

a lightning bolt.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/135.gif
61_2024-03-01,2024-03-01,85,"The seel's horn is hard,

It is used to bash through

The thick icebergs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/86.gif
62_2024-03-02,2024-03-02,34,"Clefairy, a magical Pokemon
A cute one too, a rare sight
With its admirers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/35.gif
63_2024-03-03,2024-03-03,104,"The marowak

Is the smallest Pokemon

And also the weakest.

It is small and

",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/105.gif
64_2024-03-04,2024-03-04,79,"A slowbro, with a shell that clings
To the slowpoke’s tail,
 feeds on its leftovers",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/80.gif
65_2024-03-05,2024-03-05,20,"A busy spearow,
In a small clearing,
Fights a battle strong.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/21.gif
66_2024-03-06,2024-03-06,137,"A omanyte, once more,
Is found in the sea.

But once more,
It's gone",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/138.gif
67_2024-03-07,2024-03-07,85,"The seel's horn is hard,

It is used to bash through

The thick icebergs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/86.gif
68_2024-03-08,2024-03-08,39,"A wigglytuff,

Is a Pokemon.

Is in the grassland.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/40.gif
69_2024-03-09,2024-03-09,11,"A butterfree flits past,

Flowing with speed to

Release its toxic

Dust.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/12.gif
70_2024-03-10,2024-03-10,18,"A rattata in the grass
The sharp fangs are long
And sharp as a pin
It gnaws and gn",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/19.gif
71_2024-03-11,2024-03-11,73,"Geodude
Geodude
Geodude,
The steps
The steps,
The steps
The steps",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/74.gif
72_2024-03-12,2024-03-12,77,"Rapidash, the horse of the sea,
Gallops at a top speed of
150 miles per hour.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/78.gif
73_2024-03-13,2024-03-13,25,"A raichu,

Beneath the trees,

Is a Pokemon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/26.gif
74_2024-03-14,2024-03-14,54,"Golduck
The webbed forelegs
A calm lake
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/55.gif
75_2024-03-15,2024-03-15,48,"The wings

Of the venomoth

Are covered with

Scales.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/49.gif
76_2024-03-16,2024-03-16,126,"A Pokemon called Pinsir
If it cannot crush the foe
It will spin and toss the opponent.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/127.gif
77_2024-03-17,2024-03-17,54,"Golduck
The webbed forelegs
A calm lake
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/55.gif
78_2024-03-18,2024-03-18,20,"A busy spearow,
In a small clearing,
Fights a battle strong.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/21.gif
79_2024-03-19,2024-03-19,139,"A kabuto,
A skull,
A thing of bone.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/140.gif
80_2024-03-20,2024-03-20,16,"geotto, fierce and alert
Protecting their territory
From any intruders",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/17.gif
81_2024-03-21,2024-03-21,56,"meape the Primeape:
Furious, tenacious:
Chases its quarry, never giving up.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/57.gif
82_2024-03-22,2024-03-22,0,"A strange seed
Is planted on its back.
 Bulbasaur.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/1.gif
83_2024-03-23,2024-03-23,12,"It ate a lot of leaves,

The weedle.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/13.gif
84_2024-03-24,2024-03-24,141,"A Pokemon,
Aerodactyl,
Flies high,
Wings outstretched.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/142.gif
85_2024-03-25,2024-03-25,125,"A magmar, hiding in the flames,
A flame that burns with orange glow.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/126.gif
86_2024-03-26,2024-03-26,50,"A team ofDiglett Triplets
Dugtrio - the one that's a cave
It can burrow 60",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/51.gif
87_2024-03-27,2024-03-27,82,"A tall stalk of grass
The name of this Pokemon
Is a portmanteau of the word ""farmed""",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/83.gif
88_2024-03-28,2024-03-28,28,"A nidoran-f sits
In the grassland.
The horns are small.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/29.gif
89_2024-03-29,2024-03-29,128,"Magikarp, the powerful Pokemon

The waters' edge, where it swims.

Magikarp,",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/129.gif
90_2024-03-30,2024-03-30,25,"A raichu,

Beneath the trees,

Is a Pokemon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/26.gif
91_2024-03-31,2024-03-31,51,"A meowth, sleep,
With its eyes aglow.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/52.gif
92_2024-04-01,2024-04-01,13,"There is a Pokemon,
That is almost incapable
Of moving...
That can only harden
Its shell to protect
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/14.gif
93_2024-04-02,2024-04-02,148,"Dragonite, the most powerful Pokémon
A rare sight to see
A very few people can see it
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/149.gif
94_2024-04-03,2024-04-03,124,"Electabuzz,
A black electric
A power plant.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/125.gif
95_2024-04-04,2024-04-04,88,"A muk, muk, muk
Thickly covered in a vile
Sludge.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/89.gif
96_2024-04-05,2024-04-05,59,"poliwag

A poliwag with

Newly grown legs

Swims in the water's edge",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/60.gif
97_2024-04-06,2024-04-06,111,"Rhydon,

With scales

Of lava

",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/112.gif
98_2024-04-07,2024-04-07,148,"Dragonite, the most powerful Pokémon
A rare sight to see
A very few people can see it
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/149.gif
99_2024-04-08,2024-04-08,10,"Metapod, Metapod,
Is a tiny creature,
Vulnerable and tender.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/11.gif
100_2024-04-09,2024-04-09,129,"GYARADOS!
Fierce and violent,
When the water turns red,
It will go out",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/130.gif
101_2024-04-10,2024-04-10,88,"A muk, muk, muk
Thickly covered in a vile
Sludge.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/89.gif
102_2024-04-11,2024-04-11,121,"A double-lipped Mr. Mime

Stretching out its hands.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/122.gif
103_2024-04-12,2024-04-12,111,"Rhydon,

With scales

Of lava

",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/112.gif
104_2024-04-13,2024-04-13,80,"Magnemite: a Pokemon of power
Grounded by antigravity
Thundered away!",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/81.gif
105_2024-04-14,2024-04-14,9,"aterpie, caterpie,
Caterpie, the caterpillar, the
Caterpie, the caterpillar,",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/10.gif
106_2024-04-15,2024-04-15,137,"A omanyte, once more,
Is found in the sea.

But once more,
It's gone",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/138.gif
107_2024-04-16,2024-04-16,124,"Electabuzz,
A black electric
A power plant.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/125.gif
108_2024-04-17,2024-04-17,116,"Seadra, a Pokemon
Swimming backwards
With its pectoral fins and tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/117.gif
109_2024-04-18,2024-04-18,46,"A parasect's world,
A parasitic fungus.
It can be found in the forest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/47.gif
110_2024-04-19,2024-04-19,102,"A Pokemon's life,

Is as a whole.

An EXEGGCUTE.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/103.gif
111_2024-04-20,2024-04-20,94,"The stone Pokemon Onix
Grows to resemble its name:
Onix
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/95.gif
112_2024-04-21,2024-04-21,99,"In the power plant's cage,
The Pokémon Voltorb
Zapped many people.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/100.gif
113_2024-04-22,2024-04-22,135,"Flareon, the fire-breathing Pokemon
Is the temperature in its body
A thousand degrees, or more.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/136.gif
114_2024-04-23,2024-04-23,106,"A quick, fast Pokemon,

A lightning-fast punch,

A flash of light.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/107.gif
115_2024-04-24,2024-04-24,57,"The grass is so dense
The only way through
Is growlithe",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/58.gif
116_2024-04-25,2024-04-25,29,"a,
 female with horns,
 like a cat.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/30.gif
117_2024-04-26,2024-04-26,92,"At the far end of the cave,
A haunter, I believe.
I do not know why.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/93.gif
118_2024-04-27,2024-04-27,146,"Dratini,
A mysterious Pokemon,
Is now found in the edge.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/147.gif
119_2024-04-28,2024-04-28,29,"a,
 female with horns,
 like a cat.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/30.gif
120_2024-04-29,2024-04-29,140,"Kabutops swims,
In the deep, deep sea,
Catching prey
With its scythe-like",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/141.gif
121_2024-04-30,2024-04-30,132,"A Pokemon called ""eevee""

Its genetic code is

 Irregular.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/133.gif
122_2024-05-01,2024-05-01,6,"A Pokémon with a shell as hard

As a child, it swells

And hardens; the shell
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/7.gif
123_2024-05-02,2024-05-02,98,"Kingler the crusher
Is a powerful Pokemon
With a pincer of 10,000 horsepower
But its size is too",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/99.gif
124_2024-05-03,2024-05-03,136,"A porygon skulks

In the city, between
The buildings.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/137.gif
125_2024-05-04,2024-05-04,34,"Clefairy, a magical Pokemon
A cute one too, a rare sight
With its admirers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/35.gif
126_2024-05-05,2024-05-05,116,"Seadra, a Pokemon
Swimming backwards
With its pectoral fins and tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/117.gif
127_2024-05-06,2024-05-06,93,"A gengar, a cave,

A night of a full moon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/94.gif
128_2024-05-07,2024-05-07,139,"A kabuto,
A skull,
A thing of bone.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/140.gif
129_2024-05-08,2024-05-08,18,"A rattata in the grass
The sharp fangs are long
And sharp as a pin
It gnaws and gn",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/19.gif
130_2024-05-09,2024-05-09,86,"A dewgong swims
It's thermal energy
Is stored in the body.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/87.gif
131_2024-05-10,2024-05-10,26,"Deep in the arid ground,
The sandshrew's burrow.
The sandshrew comes out to play.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/27.gif
132_2024-05-11,2024-05-11,3,"A Charmander, too hot to hold,
Goes up to the mountain.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/4.gif
133_2024-05-12,2024-05-12,5,"Charizard, the firebird

Spits fire

Is hot enough to melt boulders.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/6.gif
